place,date,verification_status,emulator,platform,region,realtime
1,2021-04-07,verified,True,jm95z9ol,pr184lqn,294.948
2,2021-02-04,verified,False,jm95z9ol,pr184lqn,295.23
3,2021-02-28,verified,False,jm95z9ol,pr184lqn,295.413
4,2020-01-17,verified,False,jm95z9ol,pr184lqn,295.646
4,2020-10-23,verified,False,jm95z9ol,pr184lqn,295.646
6,2020-12-29,verified,False,jm95z9ol,pr184lqn,295.68
7,2021-03-14,verified,False,jm95z9ol,pr184lqn,295.696
8,2021-05-10,verified,False,jm95z9ol,pr184lqn,295.73
9,2019-08-02,verified,False,jm95z9ol,pr184lqn,295.746
10,2020-09-21,verified,False,jm95z9ol,pr184lqn,295.763
11,2018-10-22,verified,False,jm95z9ol,pr184lqn,295.796
12,2021-01-13,verified,False,jm95z9ol,pr184lqn,295.829
12,2021-06-10,verified,False,jm95z9ol,pr184lqn,295.829
14,2020-09-13,verified,False,jm95z9ol,pr184lqn,295.879
15,2020-05-03,verified,False,jm95z9ol,pr184lqn,295.929
16,2020-05-06,verified,True,jm95z9ol,pr184lqn,296.245
17,2019-01-12,verified,False,jm95z9ol,pr184lqn,296.279
17,2021-01-29,verified,False,jm95z9ol,pr184lqn,296.279
19,2021-03-13,verified,True,jm95z9ol,pr184lqn,296.462
20,2021-01-17,verified,False,jm95z9ol,pr184lqn,296.495
21,2017-10-20,verified,False,jm95z9ol,pr184lqn,296.528
22,2021-04-11,verified,False,jm95z9ol,pr184lqn,296.578
23,2021-04-01,verified,False,jm95z9ol,pr184lqn,296.628
24,2019-01-11,verified,False,jm95z9ol,pr184lqn,296.695
25,2020-11-26,verified,False,jm95z9ol,o316x197,296.778
26,2021-03-28,verified,True,jm95z9ol,pr184lqn,296.844
27,2019-10-12,verified,False,jm95z9ol,pr184lqn,296.861
27,2021-03-28,verified,True,jm95z9ol,pr184lqn,296.861
27,2021-05-13,verified,True,jm95z9ol,pr184lqn,296.861
30,2021-03-18,verified,False,jm95z9ol,pr184lqn,296.878
31,2020-12-11,verified,False,jm95z9ol,pr184lqn,296.894
32,2018-11-14,verified,True,jm95z9ol,pr184lqn,296.911
32,2021-06-25,verified,False,jm95z9ol,pr184lqn,296.911
34,2021-03-12,verified,True,jm95z9ol,pr184lqn,296.928
34,2021-05-23,verified,False,jm95z9ol,pr184lqn,296.928
36,2021-01-08,verified,False,jm95z9ol,pr184lqn,296.944
37,2019-01-04,verified,False,jm95z9ol,pr184lqn,296.961
37,2020-03-03,verified,True,jm95z9ol,pr184lqn,296.961
37,2020-10-22,verified,False,jm95z9ol,pr184lqn,296.961
37,2021-04-11,verified,False,jm95z9ol,pr184lqn,296.961
37,2021-07-11,verified,False,jm95z9ol,pr184lqn,296.961
42,2017-07-31,verified,False,jm95z9ol,pr184lqn,296.978
42,2020-10-11,verified,False,jm95z9ol,o316x197,296.978
42,2021-07-09,verified,False,jm95z9ol,pr184lqn,296.978
45,2021-01-20,verified,False,jm95z9ol,pr184lqn,297.027
46,2021-05-22,verified,False,7m6ylw9p,pr184lqn,297.15
47,2021-04-16,verified,True,jm95z9ol,pr184lqn,297.244
48,2020-12-21,verified,True,jm95z9ol,pr184lqn,297.26
49,2020-04-24,verified,False,jm95z9ol,pr184lqn,297.277
50,2020-06-26,verified,False,7m6ylw9p,pr184lqn,297.317
51,2019-01-18,verified,False,jm95z9ol,pr184lqn,297.443
52,2020-12-29,verified,True,jm95z9ol,pr184lqn,297.527
53,2017-10-23,verified,True,jm95z9ol,pr184lqn,297.593
54,2018-12-27,verified,True,jm95z9ol,pr184lqn,297.627
55,2019-06-07,verified,True,jm95z9ol,pr184lqn,297.643
55,2020-01-27,verified,True,jm95z9ol,pr184lqn,297.643
57,2021-06-22,verified,True,jm95z9ol,pr184lqn,297.66
57,2021-07-06,verified,True,jm95z9ol,pr184lqn,297.66
57,2021-07-13,verified,False,jm95z9ol,pr184lqn,297.66
60,2017-06-10,verified,False,jm95z9ol,pr184lqn,297.676
60,2018-11-16,verified,False,jm95z9ol,pr184lqn,297.676
62,2014-06-25,verified,True,jm95z9ol,pr184lqn,297.693
63,2017-05-07,verified,False,jm95z9ol,pr184lqn,297.71
63,2021-06-09,verified,False,jm95z9ol,pr184lqn,297.71
63,2021-06-11,verified,True,jm95z9ol,pr184lqn,297.71
63,2021-07-14,verified,False,jm95z9ol,pr184lqn,297.71
67,2020-04-24,verified,True,jm95z9ol,pr184lqn,297.726
68,2017-05-05,verified,False,jm95z9ol,pr184lqn,297.776
69,2019-07-17,verified,False,jm95z9ol,pr184lqn,297.793
70,2020-08-12,verified,False,jm95z9ol,pr184lqn,297.81
70,2021-03-24,verified,False,jm95z9ol,pr184lqn,297.81
72,2021-01-05,verified,False,jm95z9ol,pr184lqn,297.826
72,2021-05-07,verified,False,jm95z9ol,pr184lqn,297.826
74,2018-08-29,verified,False,jm95z9ol,pr184lqn,297.843
74,2019-10-27,verified,False,jm95z9ol,pr184lqn,297.843
76,2021-05-16,verified,True,jm95z9ol,pr184lqn,297.859
77,2021-07-09,verified,True,jm95z9ol,pr184lqn,297.876
78,2019-01-18,verified,False,jm95z9ol,pr184lqn,297.893
78,2020-02-24,verified,False,jm95z9ol,pr184lqn,297.893
78,2021-03-11,verified,False,jm95z9ol,pr184lqn,297.893
78,2021-07-12,verified,True,jm95z9ol,pr184lqn,297.893
82,2021-02-22,verified,True,jm95z9ol,pr184lqn,297.909
82,2021-06-24,verified,False,jm95z9ol,pr184lqn,297.909
84,2021-06-01,verified,False,7m6ylw9p,pr184lqn,297.917
85,2018-01-16,verified,True,jm95z9ol,pr184lqn,297.926
85,2019-05-28,verified,False,jm95z9ol,pr184lqn,297.926
85,2020-03-11,verified,True,jm95z9ol,pr184lqn,297.926
88,2021-06-27,verified,False,jm95z9ol,pr184lqn,297.943
89,2017-05-28,verified,False,jm95z9ol,pr184lqn,297.976
89,2018-05-18,verified,False,jm95z9ol,pr184lqn,297.976
89,2019-10-27,verified,False,jm95z9ol,pr184lqn,297.976
92,2018-03-19,verified,False,jm95z9ol,pr184lqn,297.993
92,2018-11-01,verified,False,jm95z9ol,pr184lqn,297.993
92,2021-03-26,verified,True,jm95z9ol,pr184lqn,297.993
95,2020-07-08,verified,False,kz9wynep,pr184lqn,298
96,2020-04-03,verified,False,jm95z9ol,pr184lqn,298.009
96,2021-04-30,verified,False,jm95z9ol,pr184lqn,298.009
96,2021-06-02,verified,True,jm95z9ol,pr184lqn,298.009
99,2020-07-23,verified,False,jm95z9ol,pr184lqn,298.026
100,2018-03-24,verified,False,jm95z9ol,pr184lqn,298.059
100,2021-05-31,verified,False,jm95z9ol,pr184lqn,298.059
102,2018-06-12,verified,False,jm95z9ol,pr184lqn,298.076
102,2018-08-10,verified,False,jm95z9ol,pr184lqn,298.076
102,2019-08-14,verified,False,jm95z9ol,pr184lqn,298.076
105,2018-09-05,verified,False,jm95z9ol,pr184lqn,298.109
106,2021-06-12,verified,False,jm95z9ol,o316x197,298.142
107,2019-01-22,verified,True,jm95z9ol,pr184lqn,298.159
108,2021-04-01,verified,True,jm95z9ol,pr184lqn,298.176
109,2021-04-12,verified,True,jm95z9ol,pr184lqn,298.226
110,2021-06-06,verified,True,jm95z9ol,pr184lqn,298.292
111,2017-07-27,verified,False,jm95z9ol,pr184lqn,298.342
112,2020-11-13,verified,True,jm95z9ol,pr184lqn,298.375
113,2020-04-06,verified,False,jm95z9ol,pr184lqn,298.392
113,2021-06-02,verified,False,jm95z9ol,pr184lqn,298.392
113,2021-07-02,verified,True,jm95z9ol,pr184lqn,298.392
116,2018-03-30,verified,False,jm95z9ol,o316x197,298.409
116,2020-03-25,verified,True,jm95z9ol,pr184lqn,298.409
116,2020-07-01,verified,False,jm95z9ol,pr184lqn,298.409
119,2021-06-22,verified,False,7m6ylw9p,pr184lqn,298.5
120,2018-02-18,verified,False,jm95z9ol,pr184lqn,298.508
120,2020-11-29,verified,True,jm95z9ol,,298.508
122,2017-06-07,verified,False,jm95z9ol,pr184lqn,298.525
122,2019-03-03,verified,False,jm95z9ol,pr184lqn,298.525
124,2020-11-04,verified,False,jm95z9ol,pr184lqn,298.575
125,2020-02-12,verified,True,jm95z9ol,pr184lqn,298.608
125,2020-11-29,verified,True,jm95z9ol,pr184lqn,298.608
127,2020-12-11,verified,True,jm95z9ol,pr184lqn,298.658
128,2021-07-04,verified,False,jm95z9ol,o316x197,298.675
129,2021-06-03,verified,True,jm95z9ol,pr184lqn,298.691
130,2018-04-03,verified,False,jm95z9ol,pr184lqn,298.708
130,2020-08-08,verified,True,jm95z9ol,pr184lqn,298.708
132,2021-04-13,verified,True,jm95z9ol,,298.725
133,2019-05-30,verified,True,jm95z9ol,pr184lqn,298.741
134,2019-12-12,verified,False,jm95z9ol,pr184lqn,298.758
135,2017-06-03,verified,True,jm95z9ol,pr184lqn,298.791
136,2021-07-04,verified,False,7m6ylw9p,pr184lqn,298.8
137,2017-10-30,verified,False,jm95z9ol,pr184lqn,298.825
137,2021-06-08,verified,True,jm95z9ol,pr184lqn,298.825
137,2021-07-11,verified,True,jm95z9ol,pr184lqn,298.825
140,2017-04-22,verified,True,jm95z9ol,pr184lqn,298.841
140,2021-03-17,verified,True,jm95z9ol,pr184lqn,298.841
140,2021-04-10,verified,False,jm95z9ol,pr184lqn,298.841
143,2017-10-23,verified,False,jm95z9ol,pr184lqn,298.858
143,2021-05-27,verified,True,jm95z9ol,pr184lqn,298.858
145,2017-03-20,verified,False,jm95z9ol,o316x197,298.891
145,2018-01-02,verified,True,jm95z9ol,pr184lqn,298.891
145,2018-02-23,verified,True,jm95z9ol,pr184lqn,298.891
145,2020-09-09,verified,True,jm95z9ol,pr184lqn,298.891
145,2021-06-29,verified,True,jm95z9ol,pr184lqn,298.891
150,2021-01-09,verified,True,jm95z9ol,pr184lqn,298.908
151,2017-02-06,verified,False,jm95z9ol,pr184lqn,298.924
152,2018-03-28,verified,True,jm95z9ol,pr184lqn,298.941
152,2020-12-23,verified,False,jm95z9ol,pr184lqn,298.941
154,2020-06-10,verified,True,jm95z9ol,pr184lqn,298.958
154,2021-05-12,verified,False,jm95z9ol,pr184lqn,298.958
156,2018-01-28,verified,False,jm95z9ol,pr184lqn,298.991
156,2020-03-23,verified,True,jm95z9ol,pr184lqn,298.991
158,2016-10-16,verified,False,jm95z9ol,pr184lqn,299.008
158,2020-06-18,verified,True,jm95z9ol,pr184lqn,299.008
158,2021-02-15,verified,False,jm95z9ol,pr184lqn,299.008
161,2019-11-26,verified,False,jm95z9ol,pr184lqn,299.024
161,2021-04-14,verified,True,jm95z9ol,pr184lqn,299.024
161,2021-05-08,verified,False,jm95z9ol,pr184lqn,299.024
164,2021-02-02,verified,False,jm95z9ol,o316x197,299.041
164,2021-04-20,verified,False,jm95z9ol,pr184lqn,299.041
166,2020-12-05,verified,True,jm95z9ol,,299.057
167,2020-08-24,verified,False,jm95z9ol,pr184lqn,299.091
168,2021-01-07,verified,False,jm95z9ol,pr184lqn,299.124
168,2021-03-30,verified,False,jm95z9ol,pr184lqn,299.124
170,2019-06-23,verified,True,jm95z9ol,pr184lqn,299.141
171,2018-11-29,verified,False,jm95z9ol,pr184lqn,299.157
172,2020-07-30,verified,False,jm95z9ol,pr184lqn,299.191
172,2021-05-12,verified,True,jm95z9ol,pr184lqn,299.191
174,2021-06-19,verified,True,jm95z9ol,pr184lqn,299.207
175,2019-03-28,verified,True,jm95z9ol,pr184lqn,299.224
176,2021-05-24,verified,True,jm95z9ol,pr184lqn,299.241
177,2021-04-15,verified,True,jm95z9ol,pr184lqn,299.257
178,2017-10-04,verified,False,jm95z9ol,o316x197,299.274
178,2018-09-09,verified,False,jm95z9ol,pr184lqn,299.274
180,2021-02-11,verified,True,jm95z9ol,pr184lqn,299.29
181,2018-12-18,verified,False,jm95z9ol,pr184lqn,299.307
181,2021-07-09,verified,True,jm95z9ol,pr184lqn,299.307
183,2019-12-24,verified,True,jm95z9ol,pr184lqn,299.324
183,2020-08-02,verified,False,jm95z9ol,pr184lqn,299.324
185,2016-11-13,verified,False,jm95z9ol,pr184lqn,299.39
186,2021-07-13,verified,True,jm95z9ol,pr184lqn,299.407
187,2018-07-19,verified,False,jm95z9ol,pr184lqn,299.424
188,2020-03-03,verified,True,jm95z9ol,pr184lqn,299.44
189,2017-07-09,verified,False,jm95z9ol,pr184lqn,299.473
189,2017-12-12,verified,False,jm95z9ol,pr184lqn,299.473
191,2019-11-21,verified,False,jm95z9ol,pr184lqn,299.49
192,2020-05-05,verified,True,jm95z9ol,pr184lqn,299.507
193,2018-07-20,verified,False,jm95z9ol,pr184lqn,299.523
