place,date,verification_status,emulator,platform,region,realtime
1,2021-05-14,verified,False,nzeljv9q,e6lxy1dz,4769
2,2020-06-15,verified,False,nzeljv9q,pr184lqn,5013
3,2021-03-22,verified,False,nzelkr6q,e6lxy1dz,5178
4,2020-06-12,verified,False,nzelkr6q,e6lxy1dz,5271
5,2019-05-19,verified,False,nzeljv9q,pr184lqn,5196
6,2019-04-16,verified,False,nzelkr6q,pr184lqn,5196
7,2018-03-01,verified,False,nzeljv9q,pr184lqn,5147
8,2020-02-04,verified,False,nzelkr6q,pr184lqn,5369
9,2018-03-06,verified,False,nzeljv9q,pr184lqn,5528
10,2019-07-13,verified,False,nzelkr6q,pr184lqn,5453
11,2021-04-15,verified,False,nzelkr6q,pr184lqn,5771
12,2021-03-21,verified,False,nzelkr6q,e6lxy1dz,5923
13,2019-04-25,verified,False,nzeljv9q,e6lxy1dz,0
14,2020-06-25,verified,False,nzelkr6q,e6lxy1dz,6341
15,2021-06-04,verified,False,nzelkr6q,pr184lqn,6922
16,2020-11-24,verified,False,nzelkr6q,pr184lqn,7335
17,2021-05-11,verified,False,4p9zjrer,pr184lqn,7329
18,2020-05-05,verified,False,nzelkr6q,o316x197,7434
19,2020-06-16,verified,False,nzelkr6q,e6lxy1dz,7755
20,2019-12-05,verified,False,nzeljv9q,pr184lqn,8452
21,2018-02-11,verified,False,nzelkr6q,e6lxy1dz,8310
22,2020-07-28,verified,False,nzelkr6q,e6lxy1dz,8483
23,2019-01-30,verified,False,nzelkr6q,pr184lqn,0
24,2020-03-02,verified,False,nzelkr6q,,9996
25,2018-03-23,verified,False,nzelkr6q,pr184lqn,9268
26,2020-12-23,verified,False,nzelkr6q,pr184lqn,9330
27,2021-02-12,verified,False,4p9zjrer,pr184lqn,12140
28,2021-02-11,verified,False,4p9zjrer,pr184lqn,9949
29,2020-12-24,verified,False,nzelkr6q,pr184lqn,11198
30,2019-07-16,verified,False,nzelkr6q,pr184lqn,13114
31,2018-03-08,verified,False,nzeljv9q,e6lxy1dz,5320
32,2018-08-27,verified,False,nzeljv9q,pr184lqn,5967
33,2018-02-13,verified,False,nzelkr6q,pr184lqn,6472
34,2018-03-04,verified,False,nzelkr6q,pr184lqn,7135
35,2018-03-24,verified,False,nzelkr6q,pr184lqn,7275
36,2018-02-15,verified,False,nzelkr6q,pr184lqn,7370
37,2018-02-23,verified,False,nzelkr6q,pr184lqn,8477
38,2018-02-20,verified,False,nzelkr6q,pr184lqn,8544
39,2018-07-14,verified,False,nzeljv9q,e6lxy1dz,8562
40,2021-01-20,verified,False,nzelkr6q,e6lxy1dz,9343
41,2018-02-10,verified,False,nzelkr6q,pr184lqn,9393
42,2020-03-31,verified,False,nzelkr6q,,9420
43,2018-02-18,verified,False,nzelkr6q,e6lxy1dz,12171
