1,"[[-2.2], [-0.40000000000000013]]","[[6.601887280017819], [-5.368601247493873]]",0.05,9.352000000000004,14.352000000000004
2,"[[-1.869905635999109], [-0.6684300623746938]]","[[51.7325630728526], [-37.46481833624542]]",0.025,9.958136456328662,0.6061364563286578
3,"[[-0.5765915591777939], [-1.6050505207808294]]","[[-28152.28636520796], [20392.720889043718]]",0.0125,11.704429737037668,1.746293280709006
4,"[[-352.4801711242774], [253.30396059226567]]","[[2528326770359.568], [-1831448482558.1572]]",0.025,-62561224.795848966,62561236.500278704
5,"[[63208168906.509026], [-45786211810.64997]]","[[-3.6749546567618884e+36], [2.662033329117269e+36]]",0.0125,3.658567965343596e+32,3.658567965343596e+32
6,"[[-4.593693320952361e+34], [3.327541661396586e+34]]","[[5.642587952450176e+108], [-4.0873312992474225e+108]]",0.025,-1.4043569024504287e+104,1.4043569024504287e+104
7,"[[1.410646988112544e+107], [-1.0218328248118557e+107]]","[[-inf], [inf]]",0.0125,inf,inf
8,"[[-inf], [inf]]","[[nan], [nan]]",0.025,nan,nan
9,"[[nan], [nan]]","[[nan], [nan]]",0.05,nan,nan
10,"[[nan], [nan]]","[[nan], [nan]]",0.1,nan,nan
11,"[[nan], [nan]]","[[nan], [nan]]",0.2,nan,nan
12,"[[nan], [nan]]","[[nan], [nan]]",0.4,nan,nan
13,"[[nan], [nan]]","[[nan], [nan]]",0.8,nan,nan
14,"[[nan], [nan]]","[[nan], [nan]]",1.6,nan,nan
15,"[[nan], [nan]]","[[nan], [nan]]",3.2,nan,nan
16,"[[nan], [nan]]","[[nan], [nan]]",6.4,nan,nan
17,"[[nan], [nan]]","[[nan], [nan]]",12.8,nan,nan
18,"[[nan], [nan]]","[[nan], [nan]]",25.6,nan,nan
19,"[[nan], [nan]]","[[nan], [nan]]",51.2,nan,nan
20,"[[nan], [nan]]","[[nan], [nan]]",102.4,nan,nan
21,"[[nan], [nan]]","[[nan], [nan]]",204.8,nan,nan
22,"[[nan], [nan]]","[[nan], [nan]]",409.6,nan,nan
23,"[[nan], [nan]]","[[nan], [nan]]",819.2,nan,nan
24,"[[nan], [nan]]","[[nan], [nan]]",1638.4,nan,nan
25,"[[nan], [nan]]","[[nan], [nan]]",3276.8,nan,nan
26,"[[nan], [nan]]","[[nan], [nan]]",6553.6,nan,nan
27,"[[nan], [nan]]","[[nan], [nan]]",13107.2,nan,nan
28,"[[nan], [nan]]","[[nan], [nan]]",26214.4,nan,nan
29,"[[nan], [nan]]","[[nan], [nan]]",52428.8,nan,nan
30,"[[nan], [nan]]","[[nan], [nan]]",104857.6,nan,nan
31,"[[nan], [nan]]","[[nan], [nan]]",209715.2,nan,nan
32,"[[nan], [nan]]","[[nan], [nan]]",419430.4,nan,nan
33,"[[nan], [nan]]","[[nan], [nan]]",838860.8,nan,nan
34,"[[nan], [nan]]","[[nan], [nan]]",1677721.6,nan,nan
35,"[[nan], [nan]]","[[nan], [nan]]",3355443.2,nan,nan
36,"[[nan], [nan]]","[[nan], [nan]]",6710886.4,nan,nan
37,"[[nan], [nan]]","[[nan], [nan]]",13421772.8,nan,nan
38,"[[nan], [nan]]","[[nan], [nan]]",26843545.6,nan,nan
39,"[[nan], [nan]]","[[nan], [nan]]",53687091.2,nan,nan
40,"[[nan], [nan]]","[[nan], [nan]]",107374182.4,nan,nan
41,"[[nan], [nan]]","[[nan], [nan]]",214748364.8,nan,nan
42,"[[nan], [nan]]","[[nan], [nan]]",429496729.6,nan,nan
43,"[[nan], [nan]]","[[nan], [nan]]",858993459.2,nan,nan
44,"[[nan], [nan]]","[[nan], [nan]]",1717986918.4,nan,nan
45,"[[nan], [nan]]","[[nan], [nan]]",3435973836.8,nan,nan
46,"[[nan], [nan]]","[[nan], [nan]]",6871947673.6,nan,nan
47,"[[nan], [nan]]","[[nan], [nan]]",13743895347.2,nan,nan
