"","Anime_Name","Start_Month","Start_Year","End_Month","End_Year","Anime_Rating","Anime_Type","Number_Episodes"
"1","Fullmetal Alchemist: Brotherhood","Apr",2009,"Jul",2010,9.18,"TV ",64
"2","Shingeki no Kyojin Season 3 Part 2","Apr",2019,"Jul",2019,9.11,"TV ",10
"3","Steins;Gate","Apr",2011,"Sep",2011,9.11,"TV ",24
"4","Gintama°","Apr",2015,"Mar",2016,9.09,"TV ",51
"5","Hunter x Hunter (2011)","Oct",2011,"Sep",2014,9.08,"TV ",148
"6","Gintama'","Apr",2011,"Mar",2012,9.07,"TV ",51
"7","Shingeki no Kyojin: The Final Season","Dec",2020,"Mar",2021,9.07,"TV ",16
"8","Ginga Eiyuu Densetsu","Jan",1988,"Mar",1997,9.06,"OVA ",110
"9","Gintama': Enchousen","Oct",2012,"Mar",2013,9.04,"TV ",13
"10","3-gatsu no Lion 2nd Season","Oct",2017,"Mar",2018,9,"TV ",22
"11","Koe no Katachi","Sep",2016,"Sep",2016,8.99,"Movie ",1
"12","Gintama.","Jan",2017,"Mar",2017,8.98,"TV ",12
"13","Clannad: After Story","Oct",2008,"Mar",2009,8.96,"TV ",24
"14","Gintama","Apr",2006,"Mar",2010,8.96,"TV ",201
"15","Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare","Jul",2013,"Jul",2013,8.95,"Movie ",1
"16","Kimi no Na wa.","Aug",2016,"Aug",2016,8.94,"Movie ",1
"17","Owarimonogatari 2nd Season","Aug",2017,"Aug",2017,8.92,"TV ",7
"18","Code Geass: Hangyaku no Lelouch R2","Apr",2008,"Sep",2008,8.91,"TV ",25
"19","Fate/stay night Movie: Heaven's Feel - III. Spring Song","Aug",2020,"Aug",2020,8.87,"Movie ",1
"20","Gintama.: Shirogane no Tamashii-hen - Kouhan-sen","Jul",2018,"Oct",2018,8.86,"TV ",14
"21","Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou","Oct",2016,"Dec",2016,8.85,"TV ",10
