2,"[1, 2, 4, 8]"
3,"[1, 3, 9]"
7,"[1, 7, 343]"
11,"[1, 11, 121, 1331, 14641]"
22,"[1, 22, 484]"
26,"[1, 676]"
101,"[1, 101, 10201, 1030301, 104060401]"
111,"[1, 111, 12321, 1367631]"
121,"[1, 121, 14641]"
202,"[1, 202, 40804]"
212,"[1, 212, 44944]"
264,"[1, 69696]"
307,"[1, 94249]"
836,"[1, 698896]"
1001,"[1, 1001, 1002001, 1003003001, 1004006004001]"
1111,"[1, 1111, 1234321]"
2002,"[1, 2002, 4008004]"
2201,"[1, 10662526601]"
2285,"[1, 5221225]"
2636,"[1, 6948496]"
10001,"[1, 10001, 100020001, 1000300030001, 10004000600040001]"
10101,"[1, 10101, 102030201, 1030607060301]"
10201,"[1, 10201, 104060401]"
11011,"[1, 11011, 121242121, 1334996994331]"
11111,"[1, 11111, 123454321]"
11211,"[1, 11211, 125686521]"
20002,"[1, 20002, 400080004]"
20102,"[1, 20102, 404090404]"
22865,"[1, 522808225]"
24846,"[1, 617323716]"
30693,"[1, 942060249]"
100001,"[1, 100001, 10000200001, 1000030000300001, 100004000060000400001]"
101101,"[1, 101101, 10221412201, 1033394994933301]"
110011,"[1, 110011, 12102420121, 1331399339931331]"
111111,"[1, 111111, 12345654321]"
200002,"[1, 200002, 40000800004]"
798644,"[1, 637832238736]"
1000001,"[1, 1000001, 1000002000001, 1000003000003000001, 1000004000006000004000001]"
1001001,"[1, 1001001, 1002003002001, 1003006007006003001]"
1002001,"[1, 1002001, 1004006004001]"
1010101,"[1, 1010101, 1020304030201]"
1011101,"[1, 1011101, 1022325232201]"
1012101,"[1, 1012101, 1024348434201]"
1042151,"[1, 1086078706801]"
1100011,"[1, 1100011, 1210024200121, 1331039930399301331]"
1101011,"[1, 1101011, 1212225222121]"
1102011,"[1, 1102011, 1214428244121]"
1109111,"[1, 1230127210321]"
1110111,"[1, 1110111, 1232346432321]"
1111111,"[1, 1111111, 1234567654321]"
1270869,"[1, 1615108015161]"
2000002,"[1, 2000002, 4000008000004]"
2001002,"[1, 2001002, 4004009004004]"
2012748,"[1, 4051154511504]"
2294675,"[1, 5265533355625]"
3069307,"[1, 9420645460249]"
