game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
0,19,16,9,11,11,15,6,0,45,42,1
1,12,14,19,10,19,7,0,6,50,37,1
2,20,12,27,16,15,18,3,3,65,49,1
3,11,17,13,12,16,13,3,3,43,45,2
4,16,15,22,15,13,8,0,6,51,44,1
5,8,23,9,9,10,16,0,6,27,54,2
6,15,16,18,26,18,9,0,6,51,57,2
7,21,18,21,14,13,6,3,3,58,41,1
8,24,9,18,14,11,14,3,3,56,40,1
9,20,11,21,13,18,13,0,6,59,43,1
10,18,22,8,16,12,6,3,3,41,47,2
11,9,21,16,16,15,14,6,0,46,51,2
12,11,7,10,14,11,13,6,0,38,34,1
13,10,12,15,14,20,23,0,6,45,55,2
14,3,19,20,12,24,12,3,3,50,46,1
15,16,19,7,13,13,25,0,6,36,63,2
16,20,21,17,27,15,15,6,0,58,63,2
17,11,14,19,14,22,13,3,3,55,44,1
18,11,18,12,9,12,16,6,0,41,43,2
19,14,23,10,14,13,23,0,6,37,66,2
20,28,16,19,11,4,10,3,3,54,40,1
21,10,15,10,17,15,12,6,0,41,44,2
22,22,15,12,9,17,18,6,0,57,42,1
23,21,15,13,17,17,19,3,3,54,54,0
24,14,18,14,18,29,9,0,6,57,51,1
25,23,15,13,14,14,12,0,6,50,47,1
26,15,19,10,25,16,17,0,6,41,67,2
27,22,19,12,7,17,8,3,3,54,37,1
28,15,20,16,16,13,21,6,0,50,57,2
29,11,30,7,10,8,10,3,3,29,53,2
30,12,12,18,13,15,26,6,0,51,51,0
31,17,18,13,21,23,17,6,0,59,56,1
32,8,16,15,23,7,11,6,0,36,50,2
33,15,22,12,14,17,15,0,6,44,57,2
34,16,19,14,10,23,21,6,0,59,50,1
35,31,8,29,23,12,13,3,3,75,47,1
36,22,15,14,25,17,21,3,3,56,64,2
37,18,25,18,16,12,14,3,3,51,58,2
38,9,13,25,13,15,12,3,3,52,41,1
39,16,9,14,20,12,12,3,3,45,44,1
40,6,20,11,12,9,16,6,0,32,48,2
41,17,17,12,18,18,24,6,0,53,59,2
42,12,15,16,12,19,25,0,6,47,58,2
