game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
0,16,11,15,20,12,18,6,0,49,49,0
1,18,21,15,21,21,17,0,6,54,65,2
2,13,14,17,14,26,19,6,0,62,47,1
3,16,26,26,14,19,14,0,6,61,60,1
4,14,8,27,16,22,17,3,3,66,44,1
5,12,9,18,24,17,15,0,6,47,54,2
6,16,11,12,26,6,21,3,3,37,61,2
7,18,17,21,13,12,18,6,0,57,48,1
8,21,15,19,7,18,28,0,6,58,56,1
9,18,12,21,25,21,12,0,6,60,55,1
10,21,19,23,14,13,12,0,6,57,51,1
11,29,19,23,19,14,16,6,0,72,54,1
12,16,11,8,20,23,16,6,0,53,47,1
13,17,17,14,12,13,13,6,0,50,42,1
14,18,17,14,12,16,14,0,6,48,49,2
15,13,18,23,24,25,15,0,6,61,63,2
16,11,9,24,10,19,14,0,6,54,39,1
17,21,22,15,28,15,14,3,3,54,67,2
18,26,12,21,14,19,25,6,0,72,51,1
19,18,15,14,19,20,19,0,6,52,59,2
20,18,11,25,25,18,17,0,6,61,59,1
21,20,15,16,21,12,16,6,0,54,52,1
22,10,18,25,8,21,15,6,0,62,41,1
23,23,11,9,6,23,7,0,6,55,30,1
24,26,24,29,14,22,12,6,0,83,50,1
25,20,9,14,12,16,10,6,0,56,31,1
26,12,12,24,17,14,16,3,3,53,48,1
27,21,14,25,25,12,12,3,3,61,54,1
28,15,24,16,23,16,23,6,0,53,70,2
29,16,18,23,16,9,9,0,6,48,49,2
30,16,15,23,15,17,20,3,3,59,53,1
31,18,15,10,10,24,14,0,6,52,45,1
32,16,19,13,24,24,14,0,6,53,63,2
33,16,12,15,11,15,13,6,0,52,36,1
34,19,14,12,21,12,13,6,0,49,48,1
35,22,18,11,15,11,23,0,6,44,62,2
36,16,12,25,21,14,18,6,0,61,51,1
37,17,28,20,21,13,12,6,0,56,61,2
38,29,16,17,8,14,15,6,0,66,39,1
39,14,17,10,18,14,14,3,3,41,52,2
40,22,14,28,14,12,7,0,6,62,41,1
41,18,17,22,22,13,9,0,6,53,54,2
42,18,26,19,15,9,8,6,0,52,49,1
43,19,23,13,13,15,20,6,0,53,56,2
44,23,19,9,11,23,16,0,6,55,52,1
45,15,26,19,7,14,19,0,6,48,58,2
46,24,14,28,21,16,9,0,6,68,50,1
47,10,12,22,26,14,21,6,0,52,59,2
48,18,12,8,14,22,24,0,6,48,56,2
49,9,15,18,11,12,16,3,3,42,45,2
50,19,33,11,11,19,14,0,6,49,64,2
51,20,15,22,9,14,19,0,6,56,49,1
52,13,16,12,17,20,23,3,3,48,59,2
53,8,9,30,11,19,12,3,3,60,35,1
54,11,7,10,20,23,22,3,3,47,52,2
55,15,11,20,14,10,13,0,6,45,44,1
56,15,8,24,16,22,12,6,0,67,36,1
57,17,6,10,22,14,15,0,6,41,49,2
58,13,15,24,9,19,19,3,3,59,46,1
59,15,16,24,16,16,11,3,3,58,46,1
60,10,11,22,11,19,22,3,3,54,47,1
61,16,7,22,19,17,13,0,6,55,45,1
