game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
0,16,8,21,15,7,14,6,0,50,37,1
1,12,14,13,10,16,18,3,3,44,45,2
2,12,18,10,10,14,24,0,6,36,58,2
3,17,23,19,12,21,27,3,3,60,65,2
4,15,23,11,17,11,15,0,6,37,61,2
5,7,17,16,12,22,16,3,3,48,48,0
6,14,21,12,13,19,22,3,3,48,59,2
7,21,12,27,14,17,18,3,3,68,47,1
8,10,18,9,15,21,17,3,3,43,53,2
9,19,21,11,18,10,11,0,6,40,56,2
10,19,13,25,21,7,12,6,0,57,46,1
11,11,17,25,19,14,15,3,3,53,54,2
12,20,15,20,12,18,27,0,6,58,60,2
13,23,12,13,13,18,11,6,0,60,36,1
14,19,21,10,8,15,19,6,0,50,48,1
15,13,22,15,16,7,7,0,6,35,51,2
16,16,19,19,25,12,17,6,0,53,61,2
17,14,26,11,20,18,14,0,6,43,66,2
18,9,8,15,22,10,13,6,0,40,43,2
19,18,22,18,20,8,24,3,3,47,69,2
20,13,9,16,14,26,7,3,3,58,33,1
21,25,10,12,8,22,22,3,3,62,43,1
22,9,23,13,22,15,17,0,6,37,68,2
23,20,22,22,13,16,15,6,0,64,50,1
24,18,22,9,13,9,30,6,0,42,65,2
25,23,18,25,14,25,18,3,3,76,53,1
26,36,13,18,12,11,15,6,0,71,40,1
27,11,17,15,23,13,15,6,0,45,55,2
28,13,21,11,16,14,24,6,0,44,61,2
29,19,17,17,16,21,20,3,3,60,56,1
30,12,16,15,25,17,9,0,6,44,56,2
31,18,12,12,20,13,15,3,3,46,50,2
32,14,17,14,20,10,14,3,3,41,54,2
33,19,12,15,17,17,22,3,3,54,54,0
34,17,10,24,18,15,12,0,6,56,46,1
35,9,15,22,19,14,18,6,0,51,52,2
36,12,15,12,9,17,11,0,6,41,41,0
37,16,21,14,23,12,16,3,3,45,63,2
38,19,23,17,13,25,20,3,3,64,59,1
39,25,18,14,17,14,10,0,6,53,51,1
40,15,17,18,15,14,19,0,6,47,57,2
41,21,14,16,16,17,14,6,0,60,44,1
42,17,23,12,7,17,15,0,6,46,51,2
43,11,10,11,23,12,12,3,3,37,48,2
44,16,24,19,18,28,14,0,6,63,62,1
45,13,21,22,10,20,16,6,0,61,47,1
46,18,23,13,11,13,29,3,3,47,66,2
47,9,15,19,10,12,24,6,0,46,49,2
48,11,17,28,19,11,13,3,3,53,52,1
49,13,22,14,14,11,16,6,0,44,52,2
50,15,12,6,23,18,19,6,0,45,54,2
51,22,13,10,19,23,10,3,3,58,45,1
52,20,15,13,4,20,16,3,3,56,38,1
53,18,24,20,20,12,17,6,0,56,61,2
54,10,7,22,19,17,19,0,6,49,51,2
55,21,24,11,12,18,26,6,0,56,62,2
56,9,21,17,22,15,19,6,0,47,62,2
57,15,18,8,36,12,7,0,6,35,67,2
58,16,7,21,16,21,25,3,3,61,51,1
59,14,19,16,18,15,20,3,3,48,60,2
60,24,16,12,15,23,17,0,6,59,54,1
61,17,17,13,24,11,20,6,0,47,61,2
62,15,15,17,20,17,16,0,6,49,57,2
63,22,18,17,12,22,19,3,3,64,52,1
64,17,17,18,7,26,9,0,6,61,39,1
65,17,17,14,10,16,22,3,3,50,52,2
66,12,12,27,16,26,24,0,6,65,58,1
67,18,16,14,23,19,20,3,3,54,62,2
68,32,12,28,18,16,11,6,0,82,41,1
69,29,12,20,18,17,12,3,3,69,45,1
70,15,18,21,19,15,12,3,3,54,52,1
71,19,9,16,9,15,25,0,6,50,49,1
72,15,27,12,19,18,17,6,0,51,63,2
73,17,5,20,20,12,15,3,3,52,43,1
74,14,17,10,24,12,22,0,6,36,69,2
75,14,13,16,6,16,15,6,0,52,34,1
76,11,16,17,18,26,25,3,3,57,62,2
77,21,17,13,12,10,12,3,3,47,44,1
78,13,16,28,7,18,13,0,6,59,42,1
79,15,19,12,19,11,21,6,0,44,59,2
80,24,11,9,22,22,12,0,6,55,51,1
81,6,15,14,9,16,10,6,0,42,34,1
82,25,16,20,18,16,21,3,3,64,58,1
83,6,16,17,14,21,32,6,0,50,62,2
84,7,6,10,25,14,18,0,6,31,55,2
85,21,12,11,7,12,22,3,3,47,44,1
86,21,22,16,20,8,16,6,0,51,58,2
87,25,24,11,13,12,15,3,3,51,55,2
88,19,22,19,12,19,21,3,3,60,58,1
89,9,13,23,12,24,18,6,0,62,43,1
90,26,14,31,10,22,21,6,0,85,45,1
91,15,16,15,11,24,19,0,6,54,52,1
92,21,29,14,11,19,9,0,6,54,55,2
93,33,14,12,19,16,18,0,6,61,57,1
94,13,14,20,20,8,18,6,0,47,52,2
95,13,15,19,12,19,19,6,0,57,46,1
96,14,19,18,13,16,16,3,3,51,51,0
97,10,18,11,25,20,21,0,6,41,70,2
98,22,17,15,10,21,20,0,6,58,53,1
99,27,11,13,15,17,14,6,0,63,40,1
100,25,10,26,16,11,21,6,0,68,47,1
101,19,18,28,14,26,16,3,3,76,51,1
102,12,24,14,18,12,17,6,0,44,59,2
103,21,17,21,15,18,15,6,0,66,47,1
104,18,21,23,9,17,26,0,6,58,62,2
105,22,11,19,8,25,16,3,3,69,38,1
106,25,18,14,21,12,9,0,6,51,54,2
107,21,25,12,25,19,17,0,6,52,73,2
108,18,12,13,18,10,9,6,0,47,39,1
109,17,19,18,11,23,20,6,0,64,50,1
110,27,12,13,14,14,14,6,0,60,40,1
111,20,19,19,15,19,10,0,6,58,50,1
112,16,16,27,24,11,19,6,0,60,59,1
113,13,19,23,24,15,18,0,6,51,67,2
114,16,11,19,26,22,17,0,6,57,60,2
115,23,12,12,28,24,21,0,6,59,67,2
116,18,11,17,18,12,21,3,3,50,53,2
117,24,18,20,14,21,17,0,6,65,55,1
118,25,24,12,16,15,12,3,3,55,55,0
119,13,21,15,22,16,12,6,0,50,55,2
120,22,14,15,25,19,12,3,3,59,54,1
121,22,17,12,20,16,10,0,6,50,53,2
122,18,12,17,12,10,15,6,0,51,39,1
123,25,23,23,11,13,16,6,0,67,50,1
124,19,18,19,17,16,19,3,3,57,57,0
125,22,16,24,9,14,20,3,3,63,48,1
126,15,18,16,17,23,13,0,6,54,54,0
127,22,14,17,27,9,14,6,0,54,55,2
128,12,9,22,10,23,17,6,0,63,36,1
129,26,20,20,17,10,16,6,0,62,53,1
130,17,17,16,13,17,11,6,0,56,41,1
131,16,24,17,24,9,14,6,0,48,62,2
132,18,17,12,23,22,10,6,0,58,50,1
133,17,20,16,9,25,13,0,6,58,48,1
134,24,13,14,12,11,11,6,0,55,36,1
135,27,11,15,23,12,14,6,0,60,48,1
136,19,27,17,15,15,22,3,3,54,67,2
137,13,13,7,11,20,28,3,3,43,55,2
138,12,18,13,29,16,11,3,3,44,61,2
139,20,20,15,20,23,23,0,6,58,69,2
140,20,16,6,18,10,20,6,0,42,54,2
141,17,8,15,15,27,11,3,3,62,37,1
142,14,13,25,15,8,11,0,6,47,45,1
143,11,19,18,12,18,16,6,0,53,47,1
144,16,21,9,14,16,18,0,6,41,59,2
145,14,9,22,23,14,23,6,0,56,55,1
146,24,13,16,15,15,10,3,3,58,41,1
147,10,18,18,25,13,13,6,0,47,56,2
148,10,18,14,18,8,10,6,0,38,46,2
149,11,25,25,9,20,28,0,6,56,68,2
150,24,16,26,20,12,19,6,0,68,55,1
151,16,9,15,25,20,24,0,6,51,64,2
152,18,17,14,7,17,16,0,6,49,46,1
153,22,15,23,12,12,20,3,3,60,50,1
154,16,21,11,8,21,13,0,6,48,48,0
155,22,25,15,16,18,11,0,6,55,58,2
156,19,17,17,18,23,15,0,6,59,56,1
157,14,28,14,15,17,12,0,6,45,61,2
158,18,22,27,17,22,9,0,6,67,54,1
159,19,12,15,15,21,24,6,0,61,51,1
160,10,14,15,11,12,11,0,6,37,42,2
161,15,24,9,19,18,11,0,6,42,60,2
162,11,9,17,19,17,13,6,0,51,41,1
163,16,15,8,10,20,13,3,3,47,41,1
164,10,17,13,9,13,29,6,0,42,55,2
165,21,15,9,13,27,35,3,3,60,66,2
166,10,10,18,16,20,19,3,3,51,48,1
167,17,14,10,27,21,18,3,3,51,62,2
168,10,26,20,20,9,16,6,0,45,62,2
169,23,22,17,23,13,24,6,0,59,69,2
170,16,18,13,24,19,24,0,6,48,72,2
171,14,11,11,18,18,19,0,6,43,54,2
172,23,13,18,16,15,17,0,6,56,52,1
173,15,14,11,19,12,14,0,6,38,53,2
174,14,14,18,16,19,14,0,6,51,50,1
175,10,19,16,20,18,9,6,0,50,48,1
176,14,18,17,11,17,16,3,3,51,48,1
177,7,21,23,12,16,14,6,0,52,47,1
178,10,11,20,17,12,29,6,0,48,57,2
179,26,20,9,18,16,18,0,6,51,62,2
180,16,22,20,11,14,17,6,0,56,50,1
181,22,17,13,17,18,16,0,6,53,56,2
182,4,12,18,15,20,9,6,0,48,36,1
183,24,16,20,15,18,11,6,0,68,42,1
184,27,14,21,15,17,16,6,0,71,45,1
185,22,12,10,22,27,15,6,0,65,49,1
186,10,24,10,9,19,18,0,6,39,57,2
187,12,22,12,23,7,15,6,0,37,60,2
188,20,18,14,16,20,11,0,6,54,51,1
189,14,12,13,20,12,18,6,0,45,50,2
190,13,15,12,12,16,24,3,3,44,54,2
191,23,9,20,19,25,7,0,6,68,41,1
192,14,17,33,12,13,10,0,6,60,45,1
193,20,10,13,24,17,23,0,6,50,63,2
194,25,13,14,18,18,12,0,6,57,49,1
195,10,14,26,15,18,14,3,3,57,46,1
196,13,14,13,14,27,19,0,6,53,53,0
197,17,17,19,14,12,17,6,0,54,48,1
198,22,13,14,8,12,24,6,0,54,45,1
199,20,20,31,7,17,24,0,6,68,57,1
200,22,16,22,28,17,20,3,3,64,67,2
201,28,15,6,16,10,17,6,0,50,48,1
202,18,14,19,19,18,14,0,6,55,53,1
203,10,14,16,22,25,20,0,6,51,62,2
204,18,9,14,12,19,10,3,3,54,34,1
205,14,17,17,27,11,13,3,3,45,60,2
206,19,12,14,9,27,15,0,6,60,42,1
207,11,15,12,13,24,24,3,3,50,55,2
208,11,9,12,14,19,27,0,6,42,56,2
209,18,14,11,22,16,10,0,6,45,52,2
210,11,17,14,29,14,10,6,0,45,56,2
211,11,15,18,17,18,18,3,3,50,53,2
212,11,16,13,14,20,18,3,3,47,51,2
213,11,14,17,16,19,10,6,0,53,40,1
214,19,22,19,12,10,23,3,3,51,60,2
215,20,15,7,16,32,13,0,6,59,50,1
216,26,21,15,18,17,16,0,6,58,61,2
217,26,12,20,19,15,9,6,0,67,40,1
218,18,6,12,19,17,24,0,6,47,55,2
219,18,14,17,18,14,15,0,6,49,53,2
220,25,24,21,23,30,9,3,3,79,59,1
221,13,18,18,14,19,10,6,0,56,42,1
222,15,27,18,17,10,19,6,0,49,63,2
223,11,20,20,22,15,10,0,6,46,58,2
224,19,8,15,12,13,16,6,0,53,36,1
225,13,12,7,13,15,9,6,0,41,34,1
226,33,10,17,14,14,20,6,0,70,44,1
227,19,12,14,21,13,15,3,3,49,51,2
228,23,15,11,16,17,16,6,0,57,47,1
229,7,22,14,14,23,17,0,6,44,59,2
230,17,20,15,11,17,23,3,3,52,57,2
231,15,18,15,19,12,20,3,3,45,60,2
232,17,17,15,16,17,14,0,6,49,53,2
233,20,15,14,12,9,9,6,0,49,36,1
234,15,12,10,18,27,21,3,3,55,54,1
235,14,24,16,17,18,19,0,6,48,66,2
236,14,20,20,18,9,10,6,0,49,48,1
237,20,19,17,10,14,8,6,0,57,37,1
238,16,24,17,14,12,8,0,6,45,52,2
239,12,19,23,12,15,23,6,0,56,54,1
240,24,16,21,16,8,18,3,3,56,53,1
241,17,13,22,24,11,24,6,0,56,61,2
242,7,16,15,25,12,12,0,6,34,59,2
243,15,10,27,19,20,19,0,6,62,54,1
244,17,15,16,14,19,16,6,0,58,45,1
245,17,23,10,31,16,13,0,6,43,73,2
246,23,13,24,10,14,17,3,3,64,43,1
247,18,14,12,29,25,19,0,6,55,68,2
248,18,24,14,12,12,25,6,0,50,61,2
249,25,19,27,10,9,16,3,3,64,48,1
250,13,19,16,17,27,20,3,3,59,59,0
251,14,15,12,12,25,12,0,6,51,45,1
252,26,11,27,13,9,18,6,0,68,42,1
253,23,12,17,17,16,16,6,0,62,45,1
254,16,5,16,22,21,14,3,3,56,44,1
255,14,22,13,23,15,12,3,3,45,60,2
256,18,7,18,11,23,13,0,6,59,37,1
257,13,6,25,24,16,21,6,0,60,51,1
258,16,15,21,12,18,12,6,0,61,39,1
259,28,16,16,30,11,11,0,6,55,63,2
260,11,18,19,16,14,19,3,3,47,56,2
